ClientId,ArrivalTime,ServiceStart,ServiceEnd,Wait,ServiceTime,QueueLength,Rejected
1,6.49,10.64,13.81,4.14,3.18,0,0
2,11.68,19.32,22.69,7.64,3.36,0,0
3,18.59,28.19,31.98,9.60,3.78,1,0
4,23.74,37.48,41.06,13.74,3.58,1,0
5,30.09,46.57,49.90,16.48,3.33,1,0
6,35.99,55.41,58.42,19.42,3.00,2,0
7,42.33,63.92,67.59,21.59,3.66,2,0
8,47.46,73.09,-1.00,25.63,3.43,2,0
9,53.44,-1.00,-1.00,-1.00,-1.00,3,0
10,59.16,-1.00,-1.00,-1.00,-1.00,3,0
11,65.55,-1.00,-1.00,-1.00,-1.00,3,0
12,72.04,-1.00,-1.00,-1.00,-1.00,4,0
