ClientId,ArrivalTime,ServiceStart,ServiceEnd,Wait,ServiceTime,QueueLength,Rejected
1,5.48,9.62,12.78,4.15,3.15,0,0
2,11.09,18.28,21.65,7.19,3.35,0,0
3,16.40,27.15,31.01,10.75,3.85,1,0
4,22.71,36.51,39.82,13.80,3.30,1,0
5,29.64,45.32,48.44,15.68,3.11,1,0
6,34.89,53.95,57.63,19.06,3.68,2,0
7,40.04,63.14,66.18,23.10,3.03,2,0
8,45.42,71.69,-1.00,26.26,3.30,2,0
9,50.84,-1.00,-1.00,-1.00,-1.00,3,0
10,57.75,-1.00,-1.00,-1.00,-1.00,3,0
11,63.52,-1.00,-1.00,-1.00,-1.00,3,0
12,69.16,-1.00,-1.00,-1.00,-1.00,4,0
