ClientId,ArrivalTime,ServiceStart,ServiceEnd,Wait,ServiceTime,QueueLength,Rejected
1,5.76,9.90,13.18,4.15,3.28,0,0
2,11.44,18.69,21.91,7.25,3.22,0,0
3,17.02,27.43,31.11,10.41,3.68,1,0
4,22.63,36.62,40.39,13.99,3.77,1,0
5,28.84,45.90,49.41,17.06,3.50,1,0
6,34.67,54.93,58.05,20.26,3.12,2,0
7,39.88,63.56,66.71,23.68,3.15,2,0
8,45.77,-1.00,-1.00,-1.00,-1.00,3,0
9,52.73,-1.00,-1.00,-1.00,-1.00,3,0
10,58.13,-1.00,-1.00,-1.00,-1.00,3,0
11,63.26,-1.00,-1.00,-1.00,-1.00,4,0
12,69.94,-1.00,-1.00,-1.00,-1.00,4,0
