ClientId,ArrivalTime,ServiceStart,ServiceEnd,Wait,ServiceTime,QueueLength,Rejected
1,6.46,10.62,14.13,4.16,3.51,0,0
2,11.72,19.65,24.12,7.93,4.46,0,0
3,18.47,29.63,33.31,11.16,3.67,1,0
4,25.02,38.82,42.20,13.80,3.37,1,0
5,31.24,47.71,52.00,16.47,4.29,1,0
6,37.97,57.51,61.24,19.54,3.73,2,0
7,43.71,66.75,69.99,23.04,3.23,2,0
8,49.58,-1.00,-1.00,-1.00,-1.00,2,0
9,54.98,-1.00,-1.00,-1.00,-1.00,3,0
10,60.68,-1.00,-1.00,-1.00,-1.00,3,0
11,65.95,-1.00,-1.00,-1.00,-1.00,4,0
12,71.67,-1.00,-1.00,-1.00,-1.00,4,0
